specimen,PD_A,PD_B,CS_A,CS_B
157_14_rec_align_merged.mrk.json,0.0179654387973178,0.018442155488888213,200.90621719057233,200.93852347434444
157_17__rec_align_merged.mrk.json,0.01754062436307747,0.017961851292313768,206.3498873988626,206.3487226387624
157_18_rec_align_merged.mrk.json,0.017169054367525034,0.017499025498236665,203.96031257323475,203.97464112816408
157_19__rec_align_merged.mrk.json,0.01557694146418782,0.01617389783774841,196.79312586886505,196.8151102812263
157_20_rec_align_merged.mrk.json,0.01713215628956358,0.017525049421028175,203.98909159299617,203.99715859264705
157_21__rec_align_merged.mrk.json,0.019947047459627335,0.020285045437471123,203.4721099037711,203.48313319231278
157_22__rec_align_merged.mrk.json,0.016723871041380556,0.01724920338941143,199.3106926091948,199.35968337369573
157_23__rec_align_merged.mrk.json,0.017917957255186228,0.018316189432657143,201.8805491418417,201.86273967787218
157_24_rec_align_merged.mrk.json,0.022082550884811078,0.022410249217467527,205.47828160929964,205.4788754229032
157_25_rec_align_merged.mrk.json,0.020920680565244775,0.021274892261140734,206.4737972871345,206.50040196660856
157_26_rec_align_merged.mrk.json,0.018724880505964932,0.019233010426932876,203.45216755403726,203.4597973695179
157_27_rec_align_merged.mrk.json,0.01795360109780577,0.018289479433343973,205.55904106139354,205.55780466689043
157_28_rec_align_merged.mrk.json,0.018726593659739946,0.019113518833021717,206.76617405310648,206.77452469579566
157_5_rec_align_merged.mrk.json,0.021140322479771392,0.02135034653949617,198.1486303050564,198.15561300685246
157_6_rec_align_merged.mrk.json,0.01506204705322573,0.015586264290063793,200.45766428764324,200.46072802521107
157_7_rec_align_merged.mrk.json,0.01883512216234386,0.019362274280362062,200.54694729190877,200.54247704511482
158-23__rec_align_merged.mrk.json,0.01764945970166924,0.018058176148511747,197.70032320826223,197.7082880331811
158-25__rec_align_merged.mrk.json,0.015800867124474854,0.01639515653976822,193.9775986502683,193.98492599490396
158-30__rec_align_merged.mrk.json,0.015149223231576763,0.015668514941725664,198.99644040804,198.99360469223777
158-31__rec_align_merged.mrk.json,0.023752397703255428,0.024113758265627373,204.11036349086214,204.12610453747382
158-32__rec_align_merged.mrk.json,0.018104467512405114,0.01841688024723968,195.30950745639373,195.3327610132508
158-33__rec_align_merged.mrk.json,0.01574596287890116,0.016267582221252675,199.8841639202232,199.88109331491165
158-34__rec_align_merged.mrk.json,0.016721305533469448,0.017129747445931886,201.9705394293786,201.97890782004953
158-35__rec_align_merged.mrk.json,0.016224242247234823,0.016735302042017442,197.5756744892009,197.56646282586138
158-36__rec_align_merged.mrk.json,0.017875973739895416,0.018298182180129144,196.62052072748227,196.64462719086174
