specimen,PD_A_joint,PD_B_joint,delta_PDB_minus_PDA,pairwise_ProcD_A_vs_B
158_55_rec_align_merged.mrk.json,0.019693636855329044,0.02007846397786625,0.00038482712253720686,0.004230696183259444
158_56_rec_align_merged.mrk.json,0.025394101339649793,0.02570360661488816,0.0003095052752383684,0.004616451358427018
158_57_rec_align_merged.mrk.json,0.02369328131865717,0.023864953641095067,0.000171672322437897,0.0043267203607081145
158_58_rec_align_merged.mrk.json,0.021668628220331585,0.022054393769613986,0.00038576554928240053,0.004460252039098299
158_5__rec_align_merged.mrk.json,0.021779477211297187,0.022151444224225963,0.00037196701292877693,0.004475363587993268
158_6__rec_align_merged.mrk.json,0.01911113288802704,0.019486901777692453,0.0003757688896654128,0.00442767868978782
158_7__rec_align_merged.mrk.json,0.01813489248857219,0.018669231665497853,0.0005343391769256634,0.004478125842141516
159-20__rec_align_merged.mrk.json,0.017003786079688644,0.017496663733724716,0.000492877654036071,0.004327353737206065
159-21__rec_align_merged.mrk.json,0.020121541357689697,0.020571298625848042,0.00044975726815834477,0.004290511572891255
159-22__rec_align_merged.mrk.json,0.02006834516368135,0.020423723719769853,0.0003553785560885016,0.004104277725567293
159-23__rec_align_merged.mrk.json,0.02123768676462419,0.021641260746915157,0.00040357398229096814,0.00438158034768975
159-24__rec_align_merged.mrk.json,0.016730004310867814,0.01709671306942669,0.00036670875855887575,0.004292038810991212
159-25__rec_align_merged.mrk.json,0.021564096487928452,0.021883285651837423,0.0003191891639089707,0.004493652167380159
159-26__rec_align_merged.mrk.json,0.019309795374920107,0.019667992035423246,0.0003581966605031399,0.0042783887684664694
159-27__rec_align_merged.mrk.json,0.018495334260396453,0.018949144219769707,0.0004538099593732539,0.004445772199893536
159-28__rec_align_merged.mrk.json,0.019990235259303653,0.020418889751048715,0.00042865449174506187,0.00460255308240626
159-29__rec_align_merged.mrk.json,0.018946504499979352,0.01931701590573427,0.00037051140575491623,0.004574451623292323
159-30__rec_align_merged.mrk.json,0.01800660751528842,0.01849647906601331,0.0004898715507248887,0.004416536267321276
159-31__rec_align_merged.mrk.json,0.017462269793335875,0.01784061132691067,0.00037834153357479625,0.004057782349816957
159-32__rec_align_merged.mrk.json,0.019519442501435336,0.019815221973499417,0.00029577947206408176,0.004412688805096717
159-33__rec_align_merged.mrk.json,0.018285175734362762,0.018797858247213434,0.0005126825128506721,0.004183249871140526
159-34__rec_align_merged.mrk.json,0.015621964408078472,0.016153372623210344,0.0005314082151318712,0.004377234030619909
159-35__rec_align_merged.mrk.json,0.02376838024947377,0.024057079819019913,0.0002886995695461428,0.004799984429359516
159-36__rec_align_merged.mrk.json,0.01688189083504977,0.017287647916125148,0.0004057570810753787,0.004349684088552158
159-37__rec_align_merged.mrk.json,0.020300941571640887,0.02075314869657273,0.00045220712493184226,0.0042920775133541205
159-38__rec_align_merged.mrk.json,0.017534952228727235,0.01800152713450426,0.00046657490577702715,0.004530719266545183
159-5__rec_align_merged.mrk.json,0.015128455657567782,0.015757579931532605,0.000629124273964823,0.004605626966072271
159-6__rec_align_merged.mrk.json,0.01996450978867527,0.020274683691527174,0.00031017390285190474,0.004264089044029517
159_10__rec_align_merged.mrk.json,0.022141004293867905,0.022448008806842418,0.00030700451297451317,0.004684864363398025
159_11__rec_align_merged.mrk.json,0.01780098147414004,0.01817660586804833,0.0003756243939082894,0.004338887840939973
159_12__rec_align_merged.mrk.json,0.026952134558384792,0.027309792492617356,0.00035765793423256365,0.004653291031431294
159_13__rec_align_merged.mrk.json,0.01718592291841684,0.017609084181511407,0.0004231612630945687,0.0043409362526856815
159_14__rec_align_merged.mrk.json,0.01804405661595827,0.018425944346190246,0.0003818877302319765,0.004421661405747807
159_15__rec_align_merged.mrk.json,0.02345570167037487,0.023696500488361617,0.00024079881798674818,0.004371866560598091
159_16__rec_align_merged.mrk.json,0.02494832568224384,0.025165381559250678,0.00021705587700683593,0.004081240286469482
159_17__rec_align_merged.mrk.json,0.016834231708728803,0.017328622317078754,0.0004943906083499511,0.004185691337689101
159_18__rec_align_merged.mrk.json,0.016136058114690047,0.016649577271252276,0.0005135191565622289,0.004084519096318447
159_19__rec_align_merged.mrk.json,0.014613636419023945,0.015158680561723759,0.0005450441426998135,0.0041127539104516934
159_1_rec_align_merged.mrk.json,0.0212439157128816,0.02145607629566345,0.00021216058278185,0.00400792406164413
159_2_rec_align_merged.mrk.json,0.016122974517705894,0.016618459089153288,0.0004954845714473938,0.004148080359791971
